epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,4.42845817453721,10.980392082064759,3.940778190014409,32.94117643318924,9.990133642141359e-05,0.0009990133642141358
2,3.195733522901348,70.29411764705883,2.6513594141193466,69.50980377197266,9.96057350657239e-05,0.000996057350657239
3,2.1570600897658103,83.92156832825904,1.7612786358478023,75.58823514452168,9.911436253643444e-05,0.0009911436253643444
4,1.3087293568779441,91.17647043863933,1.286403270328746,82.45098039215686,9.842915805643155e-05,0.0009842915805643156
5,0.7127211928367615,95.78431342629825,0.9337143839574328,88.13725490196079,9.755282581475769e-05,0.0009755282581475769
6,0.3402720991302939,98.92156862745098,0.7238111407149072,89.11764705882354,9.648882429441257e-05,0.0009648882429441258
7,0.15155009323475407,99.80392156862744,0.586921546272203,90.49019607843137,9.524135262330098e-05,0.0009524135262330099
8,0.07203898714745746,100.0,0.49675442599782754,90.98039215686275,9.381533400219317e-05,0.0009381533400219318
9,0.039417962445055736,100.0,0.44707677083856917,90.98039200726677,9.221639627510075e-05,0.0009221639627510075
10,0.02397536647816499,100.0,0.4142916463169397,90.98039200726677,9.045084971874735e-05,0.0009045084971874736
11,0.016851226225787518,100.0,0.38523867159497505,91.47058823529412,8.852566213878945e-05,0.0008852566213878945
12,0.012821012371968405,100.0,0.36978946369068294,91.37254901960785,8.644843137107056e-05,0.0008644843137107056
13,0.010620328846077125,99.90196078431373,0.3652688341982224,91.2745096543256,8.422735529643442e-05,0.0008422735529643443
14,0.008857562053291237,100.0,0.3502348770697912,91.47058808569814,8.187119948743447e-05,0.0008187119948743448
15,0.007022355697756889,100.0,0.34466700647391524,91.96078431372548,7.938926261462366e-05,0.0007938926261462366
16,0.006649508557337172,100.0,0.3478716452332104,91.96078416412952,7.679133974894982e-05,0.0007679133974894982
17,0.0052389346026614604,100.0,0.3591257634700513,91.2745096543256,7.408768370508575e-05,0.0007408768370508576
18,0.004871178018477034,100.0,0.3357168357746274,92.15686259550206,7.128896457825361e-05,0.0007128896457825362
19,0.004093872803245105,100.0,0.33654782474040984,91.96078416412952,6.840622763423389e-05,0.0006840622763423389
20,0.0033712709642143225,100.0,0.33403578529170913,91.86274494844325,6.545084971874736e-05,0.0006545084971874735
21,0.0033239312013428586,100.0,0.329003598000489,91.96078416412952,6.243449435824272e-05,0.0006243449435824271
22,0.002992429802486417,100.0,0.32152464582639584,92.15686259550206,5.9369065729286224e-05,0.0005936906572928622
23,0.002997414618000096,100.0,0.3242183849507687,92.05882337981579,5.626666167821521e-05,0.000562666616782152
24,0.002774186467057934,100.0,0.3218657973350263,92.15686259550206,5.3139525976465657e-05,0.0005313952597646566
25,0.00237372797804282,100.0,0.3177000561181237,92.05882337981579,4.999999999999998e-05,0.0004999999999999998
26,0.002689172471782156,100.0,0.3174842515996858,92.05882337981579,4.6860474023534314e-05,0.00046860474023534314
27,0.002378641857820399,100.0,0.31594506583961784,92.05882337981579,4.3733338321784775e-05,0.00043733338321784774
28,0.002082453289197064,100.0,0.3100313403442794,92.45098024256089,4.063093427071375e-05,0.00040630934270713756
29,0.0025575471905005327,100.0,0.3137322844827876,92.15686259550206,3.756550564175724e-05,0.00037565505641757246
30,0.0023027477274630585,100.0,0.3121107371414409,92.15686259550206,3.454915028125263e-05,0.00034549150281252633
31,0.002003558238456939,100.0,0.315477815211988,92.15686259550206,3.1593772365766105e-05,0.00031593772365766105
32,0.0019476426555318576,100.0,0.3085118331745559,92.15686259550206,2.8711035421746357e-05,0.00028711035421746355
33,0.0018811892051541922,100.0,0.3103710450962478,92.15686259550206,2.591231629491422e-05,0.0002591231629491422
34,0.0017217033072466066,100.0,0.3077485048303417,92.54901945824717,2.3208660251050148e-05,0.00023208660251050145
35,0.0019617320220990508,100.0,0.30665463460426706,92.25490181118835,2.061073738537634e-05,0.00020610737385376337
36,0.002026896739342049,100.0,0.3058044021036111,92.05882337981579,1.8128800512565503e-05,0.00018128800512565502
37,0.0016192092619580674,100.0,0.3080196437298083,92.25490181118835,1.5772644703565555e-05,0.00015772644703565555
38,0.001814488104234139,100.0,0.3052782644243801,92.25490181118835,1.3551568628929426e-05,0.00013551568628929425
39,0.0014880712153207438,100.0,0.3062682129588782,92.15686259550206,1.1474337861210536e-05,0.00011474337861210535
40,0.0014866673492589125,100.0,0.30584632993913163,92.15686259550206,9.549150281252626e-06,9.549150281252626e-05
41,0.0016742502928108853,100.0,0.30472584997906405,92.45098024256089,7.783603724899252e-06,7.783603724899252e-05
42,0.0017903567529192158,100.0,0.30642597914910785,92.25490181118835,6.184665997806817e-06,6.184665997806817e-05
43,0.0018224488268149834,100.0,0.3046968908870921,92.45098024256089,4.75864737669903e-06,4.7586473766990294e-05
44,0.0015570203486063024,100.0,0.3050795126195047,92.05882337981579,3.5111757055874303e-06,3.5111757055874305e-05
45,0.0015166814402476246,100.0,0.3084829000281353,92.05882337981579,2.4471741852423216e-06,2.4471741852423218e-05
46,0.0016766056139935173,100.0,0.3053884940404518,92.25490181118835,1.5708419435684504e-06,1.5708419435684507e-05
47,0.0017057528705610072,100.0,0.30382639824175367,92.35294102687462,8.856374635655631e-07,8.856374635655634e-06
48,0.0015434383145332628,100.0,0.3039641235973321,92.45098024256089,3.942649342761114e-07,3.942649342761115e-06
49,0.0014358334667871103,100.0,0.3045399000831679,92.35294102687462,9.866357858642197e-08,9.866357858642198e-07
50,0.001783540791046678,100.0,0.3024394869220023,92.25490181118835,0.0,0.0
