class_id,test_samples,correct,accuracy
0,20,10,0.5
1,40,22,0.55
2,20,1,0.05
3,36,4,0.1111111111111111
4,45,22,0.4888888888888889
5,25,10,0.4
6,20,12,0.6
7,65,29,0.4461538461538462
8,26,13,0.5
9,25,17,0.68
10,67,6,0.08955223880597014
11,67,50,0.746268656716418
12,29,20,0.6896551724137931
13,28,20,0.7142857142857143
14,29,9,0.3103448275862069
15,21,4,0.19047619047619047
16,65,45,0.6923076923076923
17,62,8,0.12903225806451613
18,29,10,0.3448275862068966
19,36,12,0.3333333333333333
20,20,9,0.45
21,39,17,0.4358974358974359
22,71,29,0.4084507042253521
23,22,7,0.3181818181818182
24,21,11,0.5238095238095238
25,21,15,0.7142857142857143
26,20,10,0.5
27,46,24,0.5217391304347826
28,58,37,0.6379310344827587
29,65,20,0.3076923076923077
30,32,1,0.03125
31,25,2,0.08
32,26,12,0.46153846153846156
33,20,6,0.3
34,23,19,0.8260869565217391
35,55,23,0.41818181818181815
36,88,60,0.6818181818181818
37,36,17,0.4722222222222222
38,21,1,0.047619047619047616
39,47,7,0.14893617021276595
40,107,8,0.07476635514018691
41,39,14,0.358974358974359
42,110,14,0.12727272727272726
43,73,24,0.3287671232876712
44,20,2,0.1
45,176,55,0.3125
46,47,34,0.723404255319149
47,51,28,0.5490196078431373
48,29,16,0.5517241379310345
49,72,32,0.4444444444444444
50,238,85,0.35714285714285715
51,65,30,0.46153846153846156
52,73,5,0.0684931506849315
53,41,31,0.7560975609756098
54,51,40,0.7843137254901961
55,89,79,0.8876404494382022
56,47,27,0.574468085106383
57,94,69,0.7340425531914894
58,47,38,0.8085106382978723
59,89,80,0.898876404494382
60,30,29,0.9666666666666667
61,35,3,0.08571428571428572
62,34,33,0.9705882352941176
63,32,25,0.78125
64,82,43,0.524390243902439
65,41,41,1.0
66,22,6,0.2727272727272727
67,34,4,0.11764705882352941
68,34,20,0.5882352941176471
69,42,19,0.4523809523809524
70,58,40,0.6896551724137931
71,76,13,0.17105263157894737
72,174,26,0.14942528735632185
73,151,15,0.09933774834437085
74,100,24,0.24
75,87,30,0.3448275862068966
76,231,66,0.2857142857142857
77,117,36,0.3076923076923077
78,21,13,0.6190476190476191
79,85,4,0.047058823529411764
80,146,80,0.547945205479452
81,92,6,0.06521739130434782
82,111,3,0.02702702702702703
83,66,4,0.06060606060606061
84,43,13,0.3023255813953488
85,38,8,0.21052631578947367
86,43,15,0.3488372093023256
87,134,33,0.2462686567164179
88,164,56,0.34146341463414637
89,62,7,0.11290322580645161
90,56,28,0.5
91,46,13,0.2826086956521739
92,26,3,0.11538461538461539
93,142,12,0.08450704225352113
94,108,21,0.19444444444444445
95,71,7,0.09859154929577464
96,46,8,0.17391304347826086
97,62,22,0.3548387096774194
98,43,11,0.2558139534883721
99,29,13,0.4482758620689655
100,38,11,0.2894736842105263
101,28,16,0.5714285714285714
