epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,4.688840376162061,2.254901958446877,4.335054767833037,4.313725490196078,9.972609476841367e-05,0.0009972609476841367
2,4.129271490433637,5.784313688091204,3.9902309015685438,8.039215683937073,9.890738003669029e-05,0.0009890738003669028
3,3.7158107411627674,11.960784276326498,3.5472200328228523,13.921568622776107,9.755282581475769e-05,0.0009755282581475768
4,3.399438470952651,14.999999962601008,3.4026122093200684,19.215686274509803,9.567727288213003e-05,0.0009567727288213003
5,3.1162383500267476,22.156862707699048,3.3720338073431275,18.23529410829731,9.330127018922194e-05,0.0009330127018922195
6,3.0143664780785056,22.941176470588236,3.1615951248243745,22.352941176470587,9.045084971874738e-05,0.0009045084971874739
7,2.7980971392463236,30.58823529411765,3.0248360484254126,26.274509785222072,8.715724127386972e-05,0.0008715724127386972
8,2.6242342462726667,34.99999996260101,2.9478066491145714,29.117647021424535,8.345653031794292e-05,0.0008345653031794292
9,2.563848041085636,34.607843099855906,2.974776685004141,26.960784276326496,7.938926261462366e-05,0.0007938926261462366
10,2.3939411275527056,36.96078431372549,2.806687443864112,29.313725490196077,7.500000000000001e-05,0.00075
11,2.2656869205774046,40.588235219319664,2.807280912586287,31.86274502324123,7.033683215379003e-05,0.0007033683215379003
12,2.1792408746831557,43.33333325853535,2.668754685158823,33.8235294117647,6.545084971874738e-05,0.0006545084971874739
13,2.124127280478384,44.80392149382946,2.7128405271791944,31.47058816049613,6.039558454088797e-05,0.0006039558454088797
14,2.0619269544003056,44.21568612491383,2.641719830269907,35.29411749746285,5.522642316338269e-05,0.0005522642316338269
15,2.0025710788427613,46.27450980392157,2.7113040465934604,31.274509803921568,5.000000000000002e-05,0.0005000000000000002
16,1.904519909503413,49.705882203345205,2.5557852950750615,37.25490192338532,4.4773576836617344e-05,0.0004477357683661734
17,1.8360219300961962,50.490196003633386,2.531093525419048,37.254901960784316,3.9604415459112035e-05,0.00039604415459112036
18,1.7803996357263303,53.23529404284907,2.4953790543126124,38.13725475236481,3.4549150281252636e-05,0.0003454915028125264
19,1.75045954246147,54.21568612491383,2.487604506810506,37.352941139071596,2.966316784621e-05,0.00029663167846210003
20,1.7242976006339579,55.78431372549019,2.460357577193017,39.11764698402554,2.5000000000000015e-05,0.00025000000000000017
21,1.6714796800239413,58.1372548271628,2.4098931321910784,41.1764705882353,2.0610737385376352e-05,0.00020610737385376354
22,1.6117971555859434,57.84313718010397,2.4159554266462138,40.78431365069221,1.654346968205711e-05,0.00016543469682057108
23,1.6349310103584738,57.45098024256089,2.396270907158945,41.470588197895125,1.2842758726130304e-05,0.00012842758726130303
24,1.5831605252097636,58.72549019607843,2.368047711428474,41.86274509803921,9.549150281252636e-06,9.549150281252637e-05
25,1.5453321854273478,60.784313575894224,2.3545126858879537,41.76470588235294,6.698729810778068e-06,6.698729810778068e-05
26,1.5814126440123015,58.627450830796185,2.3644896750356637,41.07843129775103,4.322727117869953e-06,4.322727117869953e-05
27,1.512003919657539,62.15686267030005,2.3546233859716676,41.17647051343731,2.447174185242324e-06,2.447174185242324e-05
28,1.5041016807743148,61.372549019607845,2.349685225767248,41.568627413581396,1.092619963309716e-06,1.092619963309716e-05
29,1.545713807554806,59.90196078431372,2.3476714928944906,42.15686267030005,2.7390523158633003e-07,2.7390523158633003e-06
30,1.4868651025435504,64.50980362237668,2.351846538805494,41.86274506064022,0.0,0.0
