class_id,test_samples,correct,accuracy
0,20,20,1.0
1,40,40,1.0
2,20,14,0.7
3,36,15,0.4166666666666667
4,45,39,0.8666666666666667
5,25,24,0.96
6,20,20,1.0
7,65,65,1.0
8,26,24,0.9230769230769231
9,25,25,1.0
10,67,52,0.7761194029850746
11,67,65,0.9701492537313433
12,29,29,1.0
13,28,27,0.9642857142857143
14,29,29,1.0
15,21,19,0.9047619047619048
16,65,63,0.9692307692307692
17,62,61,0.9838709677419355
18,29,24,0.8275862068965517
19,36,29,0.8055555555555556
20,20,20,1.0
21,39,38,0.9743589743589743
22,71,64,0.9014084507042254
23,22,22,1.0
24,21,21,1.0
25,21,17,0.8095238095238095
26,20,20,1.0
27,46,43,0.9347826086956522
28,58,56,0.9655172413793104
29,65,56,0.8615384615384616
30,32,30,0.9375
31,25,21,0.84
32,26,25,0.9615384615384616
33,20,19,0.95
34,23,23,1.0
35,55,54,0.9818181818181818
36,88,87,0.9886363636363636
37,36,36,1.0
38,21,20,0.9523809523809523
39,47,42,0.8936170212765957
40,107,102,0.9532710280373832
41,39,39,1.0
42,110,86,0.7818181818181819
43,73,73,1.0
44,20,20,1.0
45,176,160,0.9090909090909091
46,47,47,1.0
47,51,50,0.9803921568627451
48,29,29,1.0
49,72,68,0.9444444444444444
50,238,137,0.5756302521008403
51,65,65,1.0
52,73,56,0.7671232876712328
53,41,41,1.0
54,51,50,0.9803921568627451
55,89,88,0.9887640449438202
56,47,45,0.9574468085106383
57,94,93,0.9893617021276596
58,47,47,1.0
59,89,88,0.9887640449438202
60,30,30,1.0
61,35,31,0.8857142857142857
62,34,34,1.0
63,32,32,1.0
64,82,69,0.8414634146341463
65,41,41,1.0
66,22,19,0.8636363636363636
67,34,32,0.9411764705882353
68,34,34,1.0
69,42,42,1.0
70,58,57,0.9827586206896551
71,76,66,0.868421052631579
72,174,163,0.9367816091954023
73,151,106,0.7019867549668874
74,100,90,0.9
75,87,82,0.9425287356321839
76,231,212,0.9177489177489178
77,117,104,0.8888888888888888
78,21,21,1.0
79,85,85,1.0
80,146,143,0.9794520547945206
81,92,78,0.8478260869565217
82,111,82,0.7387387387387387
83,66,45,0.6818181818181818
84,43,38,0.8837209302325582
85,38,35,0.9210526315789473
86,43,40,0.9302325581395349
87,134,118,0.8805970149253731
88,164,152,0.926829268292683
89,62,55,0.8870967741935484
90,56,53,0.9464285714285714
91,46,46,1.0
92,26,24,0.9230769230769231
93,142,135,0.9507042253521126
94,108,100,0.9259259259259259
95,71,52,0.7323943661971831
96,46,39,0.8478260869565217
97,62,59,0.9516129032258065
98,43,41,0.9534883720930233
99,29,29,1.0
100,38,35,0.9210526315789473
101,28,28,1.0
