class_id,test_samples,correct,accuracy
0,20,12,0.6
1,40,28,0.7
2,20,4,0.2
3,36,8,0.2222222222222222
4,45,21,0.4666666666666667
5,25,12,0.48
6,20,12,0.6
7,65,42,0.6461538461538462
8,26,15,0.5769230769230769
9,25,18,0.72
10,67,17,0.2537313432835821
11,67,56,0.835820895522388
12,29,18,0.6206896551724138
13,28,23,0.8214285714285714
14,29,13,0.4482758620689655
15,21,7,0.3333333333333333
16,65,46,0.7076923076923077
17,62,30,0.4838709677419355
18,29,11,0.3793103448275862
19,36,14,0.3888888888888889
20,20,11,0.55
21,39,23,0.5897435897435898
22,71,36,0.5070422535211268
23,22,12,0.5454545454545454
24,21,7,0.3333333333333333
25,21,11,0.5238095238095238
26,20,12,0.6
27,46,26,0.5652173913043478
28,58,42,0.7241379310344828
29,65,31,0.47692307692307695
30,32,12,0.375
31,25,7,0.28
32,26,18,0.6923076923076923
33,20,7,0.35
34,23,18,0.782608695652174
35,55,38,0.6909090909090909
36,88,69,0.7840909090909091
37,36,28,0.7777777777777778
38,21,3,0.14285714285714285
39,47,17,0.3617021276595745
40,107,26,0.24299065420560748
41,39,13,0.3333333333333333
42,110,33,0.3
43,73,23,0.3150684931506849
44,20,8,0.4
45,176,99,0.5625
46,47,38,0.8085106382978723
47,51,29,0.5686274509803921
48,29,21,0.7241379310344828
49,72,55,0.7638888888888888
50,238,97,0.40756302521008403
51,65,44,0.676923076923077
52,73,11,0.1506849315068493
53,41,35,0.8536585365853658
54,51,39,0.7647058823529411
55,89,80,0.898876404494382
56,47,29,0.6170212765957447
57,94,76,0.8085106382978723
58,47,38,0.8085106382978723
59,89,81,0.9101123595505618
60,30,28,0.9333333333333333
61,35,22,0.6285714285714286
62,34,33,0.9705882352941176
63,32,27,0.84375
64,82,53,0.6463414634146342
65,41,40,0.975609756097561
66,22,6,0.2727272727272727
67,34,10,0.29411764705882354
68,34,27,0.7941176470588235
69,42,31,0.7380952380952381
70,58,41,0.7068965517241379
71,76,20,0.2631578947368421
72,174,59,0.3390804597701149
73,151,32,0.2119205298013245
74,100,59,0.59
75,87,36,0.41379310344827586
76,231,112,0.48484848484848486
77,117,41,0.3504273504273504
78,21,16,0.7619047619047619
79,85,6,0.07058823529411765
80,146,96,0.6575342465753424
81,92,28,0.30434782608695654
82,111,7,0.06306306306306306
83,66,17,0.25757575757575757
84,43,34,0.7906976744186046
85,38,21,0.5526315789473685
86,43,22,0.5116279069767442
87,134,49,0.3656716417910448
88,164,60,0.36585365853658536
89,62,15,0.24193548387096775
90,56,35,0.625
91,46,17,0.3695652173913043
92,26,7,0.2692307692307692
93,142,41,0.2887323943661972
94,108,25,0.23148148148148148
95,71,15,0.2112676056338028
96,46,12,0.2608695652173913
97,62,23,0.3709677419354839
98,43,20,0.46511627906976744
99,29,16,0.5517241379310345
100,38,13,0.34210526315789475
101,28,23,0.8214285714285714
