class_id,test_samples,correct,accuracy
0,20,20,1.0
1,40,39,0.975
2,20,11,0.55
3,36,16,0.4444444444444444
4,45,36,0.8
5,25,24,0.96
6,20,20,1.0
7,65,65,1.0
8,26,25,0.9615384615384616
9,25,25,1.0
10,67,49,0.7313432835820896
11,67,65,0.9701492537313433
12,29,29,1.0
13,28,27,0.9642857142857143
14,29,29,1.0
15,21,19,0.9047619047619048
16,65,63,0.9692307692307692
17,62,62,1.0
18,29,23,0.7931034482758621
19,36,32,0.8888888888888888
20,20,20,1.0
21,39,37,0.9487179487179487
22,71,62,0.8732394366197183
23,22,22,1.0
24,21,21,1.0
25,21,15,0.7142857142857143
26,20,20,1.0
27,46,44,0.9565217391304348
28,58,56,0.9655172413793104
29,65,55,0.8461538461538461
30,32,28,0.875
31,25,24,0.96
32,26,25,0.9615384615384616
33,20,20,1.0
34,23,23,1.0
35,55,53,0.9636363636363636
36,88,86,0.9772727272727273
37,36,36,1.0
38,21,18,0.8571428571428571
39,47,41,0.8723404255319149
40,107,101,0.9439252336448598
41,39,39,1.0
42,110,86,0.7818181818181819
43,73,73,1.0
44,20,20,1.0
45,176,162,0.9204545454545454
46,47,47,1.0
47,51,50,0.9803921568627451
48,29,29,1.0
49,72,67,0.9305555555555556
50,238,151,0.634453781512605
51,65,65,1.0
52,73,53,0.726027397260274
53,41,41,1.0
54,51,48,0.9411764705882353
55,89,88,0.9887640449438202
56,47,45,0.9574468085106383
57,94,92,0.9787234042553191
58,47,47,1.0
59,89,87,0.9775280898876404
60,30,30,1.0
61,35,31,0.8857142857142857
62,34,34,1.0
63,32,32,1.0
64,82,69,0.8414634146341463
65,41,41,1.0
66,22,20,0.9090909090909091
67,34,32,0.9411764705882353
68,34,34,1.0
69,42,41,0.9761904761904762
70,58,57,0.9827586206896551
71,76,66,0.868421052631579
72,174,162,0.9310344827586207
73,151,117,0.7748344370860927
74,100,90,0.9
75,87,79,0.9080459770114943
76,231,213,0.922077922077922
77,117,98,0.8376068376068376
78,21,21,1.0
79,85,84,0.9882352941176471
80,146,141,0.9657534246575342
81,92,82,0.8913043478260869
82,111,90,0.8108108108108109
83,66,41,0.6212121212121212
84,43,41,0.9534883720930233
85,38,36,0.9473684210526315
86,43,39,0.9069767441860465
87,134,116,0.8656716417910447
88,164,155,0.9451219512195121
89,62,55,0.8870967741935484
90,56,54,0.9642857142857143
91,46,46,1.0
92,26,24,0.9230769230769231
93,142,135,0.9507042253521126
94,108,102,0.9444444444444444
95,71,50,0.704225352112676
96,46,39,0.8478260869565217
97,62,60,0.967741935483871
98,43,41,0.9534883720930233
99,29,29,1.0
100,38,38,1.0
101,28,28,1.0
