class_id,test_samples,correct,accuracy
0,20,20,1.0
1,40,39,0.975
2,20,10,0.5
3,36,12,0.3333333333333333
4,45,39,0.8666666666666667
5,25,24,0.96
6,20,20,1.0
7,65,65,1.0
8,26,23,0.8846153846153846
9,25,25,1.0
10,67,51,0.7611940298507462
11,67,60,0.8955223880597015
12,29,29,1.0
13,28,27,0.9642857142857143
14,29,29,1.0
15,21,20,0.9523809523809523
16,65,63,0.9692307692307692
17,62,61,0.9838709677419355
18,29,22,0.7586206896551724
19,36,32,0.8888888888888888
20,20,20,1.0
21,39,39,1.0
22,71,64,0.9014084507042254
23,22,22,1.0
24,21,21,1.0
25,21,16,0.7619047619047619
26,20,19,0.95
27,46,43,0.9347826086956522
28,58,52,0.896551724137931
29,65,53,0.8153846153846154
30,32,28,0.875
31,25,24,0.96
32,26,25,0.9615384615384616
33,20,20,1.0
34,23,23,1.0
35,55,54,0.9818181818181818
36,88,87,0.9886363636363636
37,36,36,1.0
38,21,19,0.9047619047619048
39,47,43,0.9148936170212766
40,107,99,0.9252336448598131
41,39,38,0.9743589743589743
42,110,85,0.7727272727272727
43,73,73,1.0
44,20,20,1.0
45,176,164,0.9318181818181818
46,47,47,1.0
47,51,50,0.9803921568627451
48,29,29,1.0
49,72,71,0.9861111111111112
50,238,146,0.6134453781512605
51,65,65,1.0
52,73,58,0.7945205479452054
53,41,41,1.0
54,51,50,0.9803921568627451
55,89,87,0.9775280898876404
56,47,44,0.9361702127659575
57,94,91,0.9680851063829787
58,47,47,1.0
59,89,87,0.9775280898876404
60,30,30,1.0
61,35,29,0.8285714285714286
62,34,34,1.0
63,32,32,1.0
64,82,71,0.8658536585365854
65,41,41,1.0
66,22,19,0.8636363636363636
67,34,29,0.8529411764705882
68,34,34,1.0
69,42,42,1.0
70,58,57,0.9827586206896551
71,76,70,0.9210526315789473
72,174,164,0.9425287356321839
73,151,117,0.7748344370860927
74,100,89,0.89
75,87,79,0.9080459770114943
76,231,205,0.8874458874458875
77,117,101,0.8632478632478633
78,21,21,1.0
79,85,83,0.9764705882352941
80,146,145,0.9931506849315068
81,92,79,0.8586956521739131
82,111,78,0.7027027027027027
83,66,43,0.6515151515151515
84,43,40,0.9302325581395349
85,38,37,0.9736842105263158
86,43,39,0.9069767441860465
87,134,118,0.8805970149253731
88,164,153,0.9329268292682927
89,62,57,0.9193548387096774
90,56,55,0.9821428571428571
91,46,46,1.0
92,26,24,0.9230769230769231
93,142,136,0.9577464788732394
94,108,94,0.8703703703703703
95,71,52,0.7323943661971831
96,46,38,0.8260869565217391
97,62,59,0.9516129032258065
98,43,40,0.9302325581395349
99,29,29,1.0
100,38,35,0.9210526315789473
101,28,28,1.0
